subID,trialNum,cntBalance,correct,rt,p1conf,p2conf,p1rslt,p2rslt,,,,
ler,0,l,FALSE,261,0,1,0,1,,,,
ler,1,l,FALSE,6,1,1,0,1,,,,
ler,2,l,TRUE,32,1,1,1,1,,,,
ler,3,l,TRUE,140,1,1,0,0,,,,
ler,4,l,TRUE,83,1,0,1,0,,,,
ler,5,l,FALSE,13,1,1,1,1,,,,
ler,6,l,TRUE,32,1,0,0,0,,,, 
ler,7,l,TRUE,124,1,0,1,0,,,,
ler,8,l,FALSE,38,0,0,1,1,,,,
ler,9,l,FALSE,60,0,0,1,0,,,,
ler,10,l,FALSE,,1,1,1,0,,,,
ler,11,l,TRUE,,0,1,0,1,,,,
ler,12,l,FALSE,,1,1,0,0,,,,
ler,13,l,TRUE,,1,0,1,0,,,,
ler,14,l,FALSE,,1,1,0,1,,,,
ler,15,l,FALSE,,0,1,1,1,,,,
ler,16,l,FALSE,,1,0,1,1,,,,
ler,17,l,FALSE,,0,0,0,0,,,,
ler,18,l,FALSE,,1,0,0,0,,,,
ler,19,l,FALSE,,0,0,1,0,,,,
ler,20,l,TRUE,,1,1,0,1,,,,
ler,21,l,TRUE,,1,0,1,0,,,,
ler,22,l,FALSE,,1,1,0,0,,,,
ler,23,l,FALSE,,0,1,0,1,,,,
ler,24,l,TRUE,,0,0,0,1,,,,
ler,25,l,TRUE,,0,1,0,0,,,,
ler,26,l,FALSE,,0,1,1,0,,,,
ler,27,l,TRUE,,1,0,0,0,,,,
ler,28,l,FALSE,,0,0,0,0,,,,
ler,29,l,FALSE,,1,0,1,1,,,,
ler,30,l,FALSE,,1,1,0,0,,,,
ler,31,l,TRUE,,0,1,0,1,,,,
ler,32,l,FALSE,,0,1,1,0,,,,
ler,33,l,FALSE,,0,1,1,1,,,,
ler,34,l,TRUE,,1,1,1,0,,,,
ler,35,l,FALSE,,0,1,1,1,,,,
ler,36,l,TRUE,,1,1,1,0,,,,
ler,37,l,FALSE,,0,0,1,0,,,,
