"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","timeout","failed_images","failed_audio","failed_video","view_history","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","outcome","p1conf","p2conf","p1rslt","p2rslt","correct","stimulus","question_order"
"true","fullscreen","0","2126","0.0-0.0-0.0","67g","[""l""]","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2127","0.0-0.0-1.0","67g","[""l""]","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"","instructions","2","4946","0.0-1.0","67g","[""l""]","","","","","[{""page_index"":0,""viewing_time"":952},{""page_index"":1,""viewing_time"":675},{""page_index"":2,""viewing_time"":1191}]","2818","","","","","","","","","","","","","",""
"","psychophysics","3","7461","0.0-2.0-0.0","67g","[""l""]","","","","","","1812","key","m","m","7.002286908077994","543","305.5","1","0","1","0","1","false","",""
"","psychophysics","4","7941","0.0-2.0-1.0","67g","[""l""]","","","","","","477","key","p","p","6.944260869565211","543","305.5","1","0","1","0","1","","",""
"","psychophysics","5","8947","0.0-2.0-3.0-0.0","67g","[""l""]","","","","","","null","key","null","null","6.944230769230766","543","305.5","1","0","1","0","1","","",""
"","html-keyboard-response","6","10516","0.0-2.0-4.0-0.0","67g","[""l""]","","","","","","1568","","","g","","","","","","","","","","<p>You have finished block 1 of 4.<p>You correctly predicted 0% of the races.<p>On the next screen, you will be given a 30 second break. Press the <b>g</b> key to start your break.",""
"","html-keyboard-response","7","11117","0.0-2.0-4.0-1.0-0.0","67g","[""l""]","","","","","","601","","","p","","","","","","","","","","<p>The experiment will resume in 30 seconds. <p>Remember, press <b>z</b> if the line is horizontal or <b>m</b> if the line is vertical.",""
"","psychophysics","8","12093","0.0-2.0-0.1","67g","[""l""]","","","","","","271","key","z","z","6.944221428571421","543","305.5","2","1","1","0","1","false","",""
"","psychophysics","9","13095","0.0-2.0-1.1","67g","[""l""]","","","","","","null","key","null","null","6.94420138888889","543","305.5","2","1","1","0","1","","",""
"","psychophysics","10","13565","0.0-2.0-3.1-0.1","67g","[""l""]","","","","","","468","key","z","z","6.944196969696956","543","305.5","2","1","1","0","1","","",""
"","html-keyboard-response","11","14096","0.0-2.0-4.1-0.1","67g","[""l""]","","","","","","531","","","p","","","","","","","","","","<p>You have finished block 2 of 4.<p>You correctly predicted 0% of the races.<p>On the next screen, you will be given a 30 second break. Press the <b>g</b> key to start your break.",""
"","html-keyboard-response","12","14781","0.0-2.0-4.1-1.1-0.1","67g","[""l""]","","","","","","685","","","p","","","","","","","","","","<p>The experiment will resume in 30 seconds. <p>Remember, press <b>z</b> if the line is horizontal or <b>m</b> if the line is vertical.",""
"","psychophysics","13","15643","0.0-2.0-0.2","67g","[""l""]","","","","","","159","key","m","m","6.9442016129032265","543","305.5","1","1","0","1","1","false","",""
"","psychophysics","14","15900","0.0-2.0-1.2","67g","[""l""]","","","","","","255","key","p","p","6.943972222222227","543","305.5","1","1","0","1","1","","",""
"","psychophysics","15","16156","0.0-2.0-3.2-0.2","67g","[""l""]","","","","","","252","key","m","m","6.943611111111143","543","305.5","1","1","0","1","1","","",""
"","html-keyboard-response","16","16790","0.0-2.0-4.2-0.2","67g","[""l""]","","","","","","634","","","z","","","","","","","","","","<p>You have finished block 3 of 4.<p>You correctly predicted 0% of the races.<p>On the next screen, you will be given a 30 second break. Press the <b>g</b> key to start your break.",""
"","html-keyboard-response","17","17011","0.0-2.0-4.2-1.2-0.2","67g","[""l""]","","","","","","220","","","p","","","","","","","","","","<p>The experiment will resume in 30 seconds. <p>Remember, press <b>z</b> if the line is horizontal or <b>m</b> if the line is vertical.",""
"","psychophysics","18","17782","0.0-2.0-0.3","67g","[""l""]","","","","","","67","key","m","m","6.94419819819817","543","305.5","2","1","0","1","0","true","",""
"","psychophysics","19","17970","0.0-2.0-1.3","67g","[""l""]","","","","","","186","key","m","m","6.943884615384657","543","305.5","2","1","0","1","0","","",""
"","psychophysics","20","18277","0.0-2.0-2.3-0.3","67g","[""l""]","","","","","","305","key","p","p","6.944186046511594","543","305.5","2","1","0","1","0","","",""
"","survey-likert","21","22519","0.0-3.0-0.0","67g","[""l""]","","","","","","4241","","","{""Advisor accuracy"":2,""trust"":1}","","","","","","","","","","","[0,1]"
